"Energieverbruik particuliere woningen; woningtype en regio's"
"";"";"Onderwerpen";"Gemiddeld aardgasverbruik";"Gemiddeld elektriciteitsverbruik";"Stadsverwarming"
"Woningkenmerken";"Regio's";"Perioden";"m3";"kWh";"%"
"Hoekwoning";"Utrecht (gemeente)";"2012";"1350";"3250";" "
"Hoekwoning";"Utrecht (gemeente)";"2013";"1500";"3350";" "
"Hoekwoning";"Utrecht (gemeente)";"2014*";"1100";"3250";" "
"Hoekwoning";"Zoetermeer";"2010";"1850";"4000";" "
"Hoekwoning";"Zoetermeer";"2011";"1450";"3950";" "
"Hoekwoning";"Zoetermeer";"2012";"1500";"3800";" "
"Hoekwoning";"Zoetermeer";"2013";"1650";"3800";" "
"Hoekwoning";"Zoetermeer";"2014*";"1200";"3700";" "
"Huurwoning";"Nederland";"2010";".";".";" "
"Huurwoning";"Nederland";"2011";".";".";" "
"Huurwoning";"Nederland";"2012";"1300";"2500";" "
"Huurwoning";"Nederland";"2013";"1350";"2450";" "
"Huurwoning";"Nederland";"2014*";"1000";"2350";" "
"Huurwoning";"Noord-Nederland (LD)";"2010";".";".";" "
"Huurwoning";"Noord-Nederland (LD)";"2011";".";".";" "
"Huurwoning";"Noord-Nederland (LD)";"2012";"1550";"2400";" "
"Huurwoning";"Noord-Nederland (LD)";"2013";"1650";"2400";" "
"Huurwoning";"Noord-Nederland (LD)";"2014*";"1200";"2250";" "
"Huurwoning";"Overijssel (PV)";"2010";".";".";" "
"Huurwoning";"Overijssel (PV)";"2011";".";".";" "
"Huurwoning";"Overijssel (PV)";"2012";"1450";"2650";" "
"Huurwoning";"Overijssel (PV)";"2013";"1550";"2600";" "
"Huurwoning";"Overijssel (PV)";"2014*";"1100";"2500";" "
"Huurwoning";"Utrecht (PV)";"2010";".";".";" "
"Huurwoning";"Utrecht (PV)";"2011";".";".";" "
"Huurwoning";"Utrecht (PV)";"2012";"1150";"2550";" "
"Huurwoning";"Utrecht (PV)";"2013";"1200";"2500";" "
"Huurwoning";"Utrecht (PV)";"2014*";"850";"2400";" "
"Huurwoning";"Noord-Holland (PV)";"2010";".";".";" "
"Huurwoning";"Noord-Holland (PV)";"2011";".";".";" "
"Huurwoning";"Noord-Holland (PV)";"2012";"1200";"2400";" "
"Huurwoning";"Noord-Holland (PV)";"2013";"1300";"2350";" "
"Huurwoning";"Noord-Holland (PV)";"2014*";"950";"2250";" "
"Huurwoning";"Zuid-Holland (PV)";"2010";".";".";" "
"Huurwoning";"Zuid-Holland (PV)";"2011";".";".";" "
"Huurwoning";"Zuid-Holland (PV)";"2012";"1150";"2400";" "
"Huurwoning";"Zuid-Holland (PV)";"2013";"1200";"2400";" "
"Huurwoning";"Zuid-Holland (PV)";"2014*";"900";"2300";" "
"Huurwoning";"Noord-Brabant (PV)";"2010";".";".";" "
"Huurwoning";"Noord-Brabant (PV)";"2011";".";".";" "
"Huurwoning";"Noord-Brabant (PV)";"2012";"1300";"2700";" "
"Huurwoning";"Noord-Brabant (PV)";"2013";"1400";"2650";" "
"Huurwoning";"Noord-Brabant (PV)";"2014*";"1000";"2550";" "
"Huurwoning";"Achtkarspelen";"2010";".";".";" "
"Huurwoning";"Achtkarspelen";"2011";".";".";" "
"Huurwoning";"Achtkarspelen";"2012";"1700";"2400";" "
"Huurwoning";"Achtkarspelen";"2013";"1800";"2350";" "
"Huurwoning";"Achtkarspelen";"2014*";"1300";"2250";" "
"Huurwoning";"Amsterdam";"2010";".";".";" "
"Huurwoning";"Amsterdam";"2011";".";".";" "
"Huurwoning";"Amsterdam";"2012";"1050";"2200";" "
"Huurwoning";"Amsterdam";"2013";"1150";"2150";" "
"Huurwoning";"Amsterdam";"2014*";"850";"2100";" "
"Huurwoning";"Borne";"2010";".";".";" "
"Huurwoning";"Borne";"2011";".";".";" "
"Huurwoning";"Borne";"2012";"1500";"2700";" "
"Huurwoning";"Borne";"2013";"1600";"2600";" "
"Huurwoning";"Borne";"2014*";"950";"2450";" "
"Huurwoning";"'s-Gravenhage (gemeente)";"2010";".";".";" "
"Huurwoning";"'s-Gravenhage (gemeente)";"2011";".";".";" "
"Huurwoning";"'s-Gravenhage (gemeente)";"2012";"1150";"2300";" "
"Huurwoning";"'s-Gravenhage (gemeente)";"2013";"1200";"2250";" "
"Huurwoning";"'s-Gravenhage (gemeente)";"2014*";"900";"2200";" "
"Huurwoning";"Leidschendam-Voorburg";"2010";".";".";" "
"Huurwoning";"Leidschendam-Voorburg";"2011";".";".";" "
"Huurwoning";"Leidschendam-Voorburg";"2012";"1250";"2250";" "
"Huurwoning";"Leidschendam-Voorburg";"2013";"1350";"2200";" "
"Huurwoning";"Leidschendam-Voorburg";"2014*";"1000";"2150";" "
"Huurwoning";"Rotterdam";"2010";".";".";" "
"Huurwoning";"Rotterdam";"2011";".";".";" "
"Huurwoning";"Rotterdam";"2012";"950";"2300";" "
"Huurwoning";"Rotterdam";"2013";"1000";"2300";" "
"Huurwoning";"Rotterdam";"2014*";"750";"2200";" "
"Huurwoning";"Utrecht (gemeente)";"2010";".";".";" "
"Huurwoning";"Utrecht (gemeente)";"2011";".";".";" "
"Huurwoning";"Utrecht (gemeente)";"2012";"850";"2300";" "
"Huurwoning";"Utrecht (gemeente)";"2013";"900";"2250";" "
"Huurwoning";"Utrecht (gemeente)";"2014*";"650";"2150";" "
"Huurwoning";"Zoetermeer";"2010";".";".";" "
"Huurwoning";"Zoetermeer";"2011";".";".";" "
"Huurwoning";"Zoetermeer";"2012";"1100";"2750";" "
"Huurwoning";"Zoetermeer";"2013";"1150";"2700";" "
"Huurwoning";"Zoetermeer";"2014*";"850";"2600";" "
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 4-1-2016"
